Min Players (group),Category,Category (group),Min Players,Name,Playtime,Avg Rating,Cnull,maxNRatePerMinPlayandCat,NamesMaxNR,Num Ratings,Playtime Num
Solo Support,Economic,Economic,1,Agricola,,7.98857,1,61557,Agricola,61557,150
Not Support Solo,Economic,Economic,3,Puerto Rico,,8.0359,1,61157,Puerto Rico,61157,150
Not Support Solo,Fighting,Fighting,2,Small World,,7.29949,1,59211,Small World,59211,80
Not Support Solo,Deduction,Deduction,2,Codenames,,7.71148,1,62563,Codenames,62563,15
Not Support Solo,Economic,Economic,2,Power Grid,,7.89004,1,61157,Power Grid,54420,120
Not Support Solo,Fighting,Fighting,2,King of Tokyo,,7.23048,1,59211,King of Tokyo,54881,30
Not Support Solo,Deduction,Deduction,2,Love Letter,,7.25253,1,62563,Love Letter,53131,20
Not Support Solo,Economic,Economic,2,Splendor,,7.47331,1,61157,Splendor,54445,30
Not Support Solo,Bluffing,Bluffing,2,Citadels,,7.10124,1,46905,Citadels,46905,60
Not Support Solo,Party Game,Party Game,3,Dixit,,7.29405,1,47812,Dixit,47812,30
Not Support Solo,Economic,Economic,2,Race for the Galaxy,,7.7624,1,61157,Race for the Galaxy,44579,60
Solo Support,Economic,Economic,1,Scythe,,8.2841,1,61557,Scythe,52513,115
Solo Support,Economic,Economic,1,Terraforming Mars,,8.40331,1,61557,Terraforming Mars,57359,120
Not Support Solo,Fighting,Fighting,3,Munchkin,,5.92127,1,59211,Munchkin,39939,120
Solo Support,Fighting,Fighting,1,Arkham Horror,,7.29157,1,37075,Arkham Horror,36102,360
Not Support Solo,Bluffing,Bluffing,2,Dead of Winter: A Crossroads Game,,7.67747,1,46905,Dead of Winter: A Crossroads Game,37602,120
Not Support Solo,Economic,Economic,2,Terra Mystica,,8.19293,1,61157,Terra Mystica,37276,150
Not Support Solo,Deduction,Deduction,2,Hanabi,,7.1373,1,62563,Hanabi,36775,25
Not Support Solo,Bluffing,Bluffing,5,The Resistance,,7.33418,1,46905,The Resistance,34774,30
Not Support Solo,Bluffing,Bluffing,3,Battlestar Galactica: The Board Game,,7.74082,1,46905,Battlestar Galactica: The Board Game,32005,300
Not Support Solo,Bluffing,Bluffing,2,Coup,,7.03729,1,46905,Coup,33927,15
Not Support Solo,Fighting,Fighting,2,Star Realms,,7.60884,1,59211,Star Realms,33898,20
Not Support Solo,Fighting,Fighting,2,Magic: The Gathering,,7.47773,1,59211,Magic: The Gathering,31086,20
Solo Support,Fighting,Fighting,1,Robinson Crusoe: Adventures on the Cursed Island,,7.90738,1,37075,Robinson Crusoe: Adventures on the Cursed Island,31773,120
Not Support Solo,Fighting,Fighting,2,Blood Rage,,8.03108,1,59211,Blood Rage,31455,90
Not Support Solo,Economic,Economic,2,Caylus,,7.81108,1,61157,Caylus,26174,150
Solo Support,Fighting,Fighting,1,Gloomhaven,,8.89906,1,37075,Gloomhaven,37075,120
Not Support Solo,Economic,Economic,2,Tzolk'in: The Mayan Calendar,,7.92748,1,61157,Tzolk'in: The Mayan Calendar,28786,90
Not Support Solo,Bluffing,Bluffing,2,Android: Netrunner,,7.89668,1,46905,Android: Netrunner,26001,45
Not Support Solo,Fighting,Fighting,2,Eclipse,,7.94262,1,59211,Eclipse,25542,180
Not Support Solo,Bluffing,Bluffing,3,A Game of Thrones: The Board Game (Second Edition),,7.6607,1,46905,A Game of Thrones: The Board Game (Second Edition),27362,240
Not Support Solo,Bluffing,Bluffing,3,Cosmic Encounter,,7.55528,1,46905,Cosmic Encounter,26335,120
Not Support Solo,Bluffing,Bluffing,3,Sheriff of Nottingham,,7.21073,1,46905,Sheriff of Nottingham,28017,60
Solo Support,Economic,Economic,1,Caverna: The Cave Farmers,,8.0693,1,61557,Caverna: The Cave Farmers,26739,210
Solo Support,Fighting,Fighting,1,Eldritch Horror,,7.85804,1,37075,Eldritch Horror,27732,240
Not Support Solo,Economic,Economic,2,Monopoly,,4.37636,1,61157,Monopoly,26676,180
Not Support Solo,Bluffing,Bluffing,3,Shadows over Camelot,,7.13334,1,46905,Shadows over Camelot,24892,80
Solo Support,Fighting,Fighting,1,Mage Knight Board Game,,8.10663,1,37075,Mage Knight Board Game,26609,240
Not Support Solo,Bluffing,Bluffing,4,BANG!,,6.52314,1,46905,BANG!,25506,40
Not Support Solo,Deduction,Deduction,2,Mysterium,,7.39843,1,62563,Mysterium,29442,42
Solo Support,Economic,Economic,1,Le Havre,,7.89077,1,61557,Le Havre,25443,150
Not Support Solo,Bluffing,Bluffing,5,The Resistance: Avalon,,7.62483,1,46905,The Resistance: Avalon,25833,30
Not Support Solo,Economic,Economic,2,Roll for the Galaxy,,7.72867,1,61157,Roll for the Galaxy,24800,45
Not Support Solo,Bluffing,Bluffing,3,Saboteur,,6.60249,1,46905,Saboteur,24198,30
Not Support Solo,Bluffing,Bluffing,2,Star Wars: X-Wing Miniatures Game,,7.75976,1,46905,Star Wars: X-Wing Miniatures Game,22459,45
Not Support Solo,Economic,Economic,2,San Juan,,7.27255,1,61157,San Juan,21812,60
Not Support Solo,Economic,Economic,2,Istanbul,,7.60923,1,61157,Istanbul,23680,60
Not Support Solo,Economic,Economic,2,Concordia,,8.10536,1,61157,Concordia,25711,100
Not Support Solo,Economic,Economic,3,For Sale,,7.21659,1,61157,For Sale,22580,30
Not Support Solo,Party Game,Party Game,4,Cards Against Humanity,,6.02013,1,47812,Cards Against Humanity,22147,30
Solo Support,Fighting,Fighting,1,Elder Sign,,7.00506,1,37075,Elder Sign,21321,90
Not Support Solo,Fighting,Fighting,2,Descent: Journeys in the Dark (Second Edition),,7.73127,1,59211,Descent: Journeys in the Dark (Second Edition),21853,120
Solo Support,Economic,Economic,1,Suburbia,,7.56653,1,61557,Suburbia,20870,90
Not Support Solo,Fighting,Fighting,2,Colt Express,,7.16312,1,59211,Colt Express,22886,40
Solo Support,Fighting,Fighting,1,Ghost Stories,,7.35201,1,37075,Ghost Stories,18848,60
Solo Support,Economic,Economic,1,Viticulture Essential Edition,,8.14362,1,61557,Viticulture Essential Edition,25735,90
Not Support Solo,Bluffing,Bluffing,2,Survive: Escape from Atlantis!,,7.30851,1,46905,Survive: Escape from Atlantis!,19404,60
Not Support Solo,Economic,Economic,2,Acquire,,7.35261,1,61157,Acquire,17836,90
Not Support Solo,Economic,Economic,2,Through the Ages: A Story of Civilization,,7.98974,1,61157,Through the Ages: A Story of Civilization,17684,240
Not Support Solo,Bluffing,Bluffing,3,One Night Ultimate Werewolf,,7.21336,1,46905,One Night Ultimate Werewolf,20142,10
Not Support Solo,Fighting,Fighting,2,Star Wars: Imperial Assault,,8.0778,1,59211,Star Wars: Imperial Assault,19391,120
Not Support Solo,Fighting,Fighting,2,Star Wars: Rebellion,,8.44551,1,59211,Star Wars: Rebellion,21095,240
Solo Support,Fighting,Fighting,1,Mansions of Madness: Second Edition,,8.15362,1,37075,Mansions of Madness: Second Edition,22562,180
Not Support Solo,Party Game,Party Game,4,Apples to Apples,,5.85811,1,47812,Apples to Apples,17184,30
Not Support Solo,Economic,Economic,2,Keyflower,,7.85182,1,61157,Keyflower,18067,120
Not Support Solo,Bluffing,Bluffing,3,BANG! The Dice Game,,6.99031,1,46905,BANG! The Dice Game,18715,15
Not Support Solo,Economic,Economic,2,Through the Ages: A New Story of Civilization,,8.53104,1,61157,Through the Ages: A New Story of Civilization,21053,120
Not Support Solo,Economic,Economic,2,Isle of Skye: From Chieftain to King,,7.45634,1,61157,Isle of Skye: From Chieftain to King,19015,50
Not Support Solo,Fighting,Fighting,2,Cyclades,,7.5237,1,59211,Cyclades,17126,90
Not Support Solo,Economic,Economic,2,The Voyages of Marco Polo,,7.94038,1,61157,The Voyages of Marco Polo,18669,100
Not Support Solo,Bluffing,Bluffing,3,Spyfall,,6.9856,1,46905,Spyfall,17441,15
Not Support Solo,Economic,Economic,2,Troyes,,7.76293,1,61157,Troyes,17608,90
Not Support Solo,Bluffing,Bluffing,3,Clue,,5.65866,1,46905,Clue,16735,45
Not Support Solo,Economic,Economic,2,The Pillars of the Earth,,7.30571,1,61157,The Pillars of the Earth,15943,120
Not Support Solo,Economic,Economic,2,Brass: Lancashire,,8.12303,1,61157,Brass: Lancashire,18149,120
Not Support Solo,Bluffing,Bluffing,3,Diamant,,6.83112,1,46905,Diamant,16269,30
Not Support Solo,Deduction,Deduction,2,Alchemists,,7.69764,1,62563,Alchemists,17270,120
Not Support Solo,Party Game,Party Game,2,Zombie Dice,,6.21825,1,47812,Zombie Dice,15634,20
Solo Support,Fighting,Fighting,1,Mice and Mystics,,7.37141,1,37075,Mice and Mystics,16009,90
Not Support Solo,Economic,Economic,3,Modern Art,,7.37034,1,61157,Modern Art,15950,45
Not Support Solo,Deduction,Deduction,2,Battle Line,,7.41564,1,62563,Battle Line,15193,30
Not Support Solo,Fighting,Fighting,2,Zombies!!!,,5.8306,1,59211,Zombies!!!,14176,90
Not Support Solo,Deduction,Deduction,2,Mr. Jack,,7.04544,1,62563,Mr. Jack,14639,30
Not Support Solo,Party Game,Party Game,2,Sushi Go Party!,,7.51717,1,47812,Sushi Go Party!,19687,20
Not Support Solo,Economic,Economic,2,Saint Petersburg,,7.31269,1,61157,Saint Petersburg,14032,60
Solo Support,Deduction,Deduction,1,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,,7.80033,1,16023,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,16023,120
Not Support Solo,Party Game,Party Game,3,Dixit: Odyssey,,7.48416,1,47812,Dixit: Odyssey,15671,30
Not Support Solo,Fighting,Fighting,2,Sentinels of the Multiverse,,7.27321,1,59211,Sentinels of the Multiverse,14307,60
Not Support Solo,Fighting,Fighting,3,Chaos in the Old World,,7.67316,1,59211,Chaos in the Old World,13966,120
Solo Support,Fighting,Fighting,1,Friday,,7.19434,1,37075,Friday,15356,25
Not Support Solo,Fighting,Fighting,2,Kemet,,7.75018,1,59211,Kemet,15473,120
Not Support Solo,Fighting,Fighting,2,Last Night on Earth: The Zombie Game,,6.96853,1,59211,Last Night on Earth: The Zombie Game,13389,90
Solo Support,Fighting,Fighting,1,Castle Panic,,6.67413,1,37075,Castle Panic,13818,60
Not Support Solo,Deduction,Deduction,2,Codenames: Pictures,,7.34107,1,62563,Codenames: Pictures,15752,15
Not Support Solo,Fighting,Fighting,2,Quarriors!,,6.78099,1,59211,Quarriors!,12941,30
Not Support Solo,Economic,Economic,2,Century: Spice Road,,7.39227,1,61157,Century: Spice Road,16948,45
Not Support Solo,Deduction,Deduction,3,Scotland Yard,,6.50481,1,62563,Scotland Yard,13713,45
Not Support Solo,Economic,Economic,2,Glory to Rome,,7.49292,1,61157,Glory to Rome,12710,60
Not Support Solo,Bluffing,Bluffing,2,Stratego,,6.07098,1,46905,Stratego,13254,45
Not Support Solo,Economic,Economic,2,Dungeon Lords,,7.41716,1,61157,Dungeon Lords,12623,90
Not Support Solo,Deduction,Deduction,4,Concept,,6.88564,1,62563,Concept,14303,40
Not Support Solo,Fighting,Fighting,2,Mansions of Madness,,7.33163,1,59211,Mansions of Madness,12513,180
Solo Support,Fighting,Fighting,1,Neuroshima Hex! 3.0,,7.41835,1,37075,Neuroshima Hex! 3.0,12870,30
Not Support Solo,Fighting,Fighting,2,King of New York,,7.02216,1,59211,King of New York,13485,40
Not Support Solo,Economic,Economic,3,Shogun,,7.55495,1,61157,Shogun,12550,120
Not Support Solo,Bluffing,Bluffing,3,Wits & Wagers,,6.94676,1,46905,Wits & Wagers,12917,25
Not Support Solo,Deduction,Deduction,2,Captain Sonar,,7.63964,1,62563,Captain Sonar,14985,60
Not Support Solo,Bluffing,Bluffing,2,Letters from Whitechapel,,7.43459,1,46905,Letters from Whitechapel,13173,60
Not Support Solo,Fighting,Fighting,2,Legends of Andor,,7.24574,1,59211,Legends of Andor,13913,90
Not Support Solo,Fighting,Fighting,2,Talisman (Revised 4th Edition),,6.53718,1,59211,Talisman (Revised 4th Edition),12642,90
Not Support Solo,Fighting,Fighting,2,Merchants & Marauders,,7.43596,1,59211,Merchants & Marauders,12345,180
Not Support Solo,Economic,Economic,2,Notre Dame,,7.36577,1,61157,Notre Dame,11972,75
Not Support Solo,Bluffing,Bluffing,5,Secret Hitler,,7.58786,1,46905,Secret Hitler,16293,45
Solo Support,Fighting,Fighting,1,Space Hulk: Death Angel â€“ The Card Game,,6.99383,1,37075,Space Hulk: Death Angel â€“ The Card Game,11877,60
Solo Support,Fighting,Fighting,1,Pathfinder Adventure Card Game: Rise of the Runelords â€“ Base Set,,7.27195,1,37075,Pathfinder Adventure Card Game: Rise of the Runelords â€“ Base Set,11763,90
Not Support Solo,Bluffing,Bluffing,2,Diplomacy,,7.05243,1,46905,Diplomacy,11810,360
Not Support Solo,Bluffing,Bluffing,2,Liar's Dice,,6.91821,1,46905,Liar's Dice,12127,30
Not Support Solo,Fighting,Fighting,2,Mechs vs. Minions,,8.12782,1,59211,Mechs vs. Minions,13204,90
Not Support Solo,Bluffing,Bluffing,4,Deception: Murder in Hong Kong,,7.53145,1,46905,Deception: Murder in Hong Kong,14670,20
Solo Support,Economic,Economic,1,A Feast for Odin,,8.18077,1,61557,A Feast for Odin,15434,120
Not Support Solo,Fighting,Fighting,2,Descent: Journeys in the Dark,,7.3143,1,59211,Descent: Journeys in the Dark,11190,240
Not Support Solo,Fighting,Fighting,2,Evolution,,7.19797,1,59211,Evolution,12787,60
Solo Support,Fighting,Fighting,1,Spirit Island,,8.37052,1,37075,Spirit Island,20755,120
Not Support Solo,Bluffing,Bluffing,3,Rising Sun,,8.00452,1,46905,Rising Sun,14439,120
Not Support Solo,Economic,Economic,2,Goa,,7.60498,1,61157,Goa,10832,90
Not Support Solo,Bluffing,Bluffing,4,Ca$h 'n Guns (Second Edition),,6.9594,1,46905,Ca$h 'n Guns (Second Edition),12009,30
Not Support Solo,Economic,Economic,2,Above and Below,,7.50327,1,61157,Above and Below,11997,90
Solo Support,Economic,Economic,1,Nations,,7.67151,1,61557,Nations,10862,200
Not Support Solo,Party Game,Party Game,4,Telestrations,,7.41051,1,47812,Telestrations,11893,30
Not Support Solo,Bluffing,Bluffing,3,A Game of Thrones (First Edition),,7.24611,1,46905,A Game of Thrones (First Edition),10068,180
Not Support Solo,Party Game,Party Game,2,Jungle Speed,,6.53659,1,47812,Jungle Speed,10833,10
Not Support Solo,Fighting,Fighting,2,War of the Ring (Second Edition),,8.42735,1,59211,War of the Ring (Second Edition),12442,180
Not Support Solo,Fighting,Fighting,2,Summoner Wars: Master Set,,7.55392,1,59211,Summoner Wars: Master Set,10193,60
Not Support Solo,Economic,Economic,2,In the Year of the Dragon,,7.38305,1,61157,In the Year of the Dragon,10468,100
Not Support Solo,Fighting,Fighting,2,HeroQuest,,7.10206,1,59211,HeroQuest,10553,90
Not Support Solo,Bluffing,Bluffing,3,Skull,,7.17317,1,46905,Skull,12818,45
Not Support Solo,Economic,Economic,2,Axis & Allies,,6.55886,1,61157,Axis & Allies,10113,180
Solo Support,Fighting,Fighting,1,Thunderstone,,6.96987,1,37075,Thunderstone,9951,60
Not Support Solo,Economic,Economic,2,Food Chain Magnate,,8.18414,1,61157,Food Chain Magnate,12724,240
Solo Support,Fighting,Fighting,1,Zombicide: Black Plague,,7.73977,1,37075,Zombicide: Black Plague,11801,180
Not Support Solo,Deduction,Deduction,2,Tobago,,7.12657,1,62563,Tobago,10224,60
Not Support Solo,Fighting,Fighting,2,Blood Bowl: Team Manager â€“ The Card Game,,7.3746,1,59211,Blood Bowl: Team Manager â€“ The Card Game,10081,90
Solo Support,Party Game,Party Game,1,Jenga,,5.58245,1,10913,Jenga,10913,20
Not Support Solo,Bluffing,Bluffing,4,Ca$h 'n Gun$,,6.60914,1,46905,Ca$h 'n Gun$,9649,30
Not Support Solo,Bluffing,Bluffing,2,Welcome to the Dungeon,,6.65729,1,46905,Welcome to the Dungeon,11065,30
Solo Support,Fighting,Fighting,1,Legendary Encounters: An Alien Deck Building Game,,7.79776,1,37075,Legendary Encounters: An Alien Deck Building Game,10639,60
Solo Support,Economic,Economic,1,Gaia Project,,8.53656,1,61557,Gaia Project,14283,150
Not Support Solo,Party Game,Party Game,4,Taboo,,6.28354,1,47812,Taboo,9974,20
Not Support Solo,Economic,Economic,3,Steam,,7.6248,1,61157,Steam,9373,90
Solo Support,Economic,Economic,1,Ora et Labora,,7.71547,1,61557,Ora et Labora,9487,180
Not Support Solo,Economic,Economic,2,Bruges,,7.45063,1,61157,Bruges,9855,60
Solo Support,Economic,Economic,1,Clans of Caledonia,,8.05595,1,61557,Clans of Caledonia,13184,120
Not Support Solo,Fighting,Fighting,2,Champions of Midgard,,7.79091,1,59211,Champions of Midgard,12069,90
Not Support Solo,Deduction,Deduction,2,Fury of Dracula (Second Edition),,7.15042,1,62563,Fury of Dracula (Second Edition),8872,180
Not Support Solo,Fighting,Fighting,2,Small World Underground,,7.29991,1,59211,Small World Underground,9446,90
Not Support Solo,Economic,Economic,2,Mombasa,,7.92164,1,61157,Mombasa,10357,150
Not Support Solo,Bluffing,Bluffing,8,The Werewolves of Miller's Hollow,,6.78826,1,46905,The Werewolves of Miller's Hollow,9472,30
Not Support Solo,Deduction,Deduction,2,The Mind,,7.03924,1,62563,The Mind,16329,15
Solo Support,Economic,Economic,1,At the Gates of Loyang,,7.38538,1,61557,At the Gates of Loyang,9302,120
Not Support Solo,Economic,Economic,2,Grand Austria Hotel,,7.77435,1,61157,Grand Austria Hotel,11021,120
Not Support Solo,Economic,Economic,2,The Manhattan Project,,7.41617,1,61157,The Manhattan Project,8902,120
Not Support Solo,Economic,Economic,2,Viticulture,,7.64826,1,61157,Viticulture,9633,90
Not Support Solo,Deduction,Deduction,2,Fury of Dracula (third/fourth edition),,7.5733,1,62563,Fury of Dracula (third/fourth edition),10561,180
Not Support Solo,Fighting,Fighting,2,Nexus Ops,,7.22964,1,59211,Nexus Ops,8359,90
Not Support Solo,Economic,Economic,2,Last Will,,7.21237,1,61157,Last Will,8762,75
Not Support Solo,Economic,Economic,3,Amun-Re,,7.33098,1,61157,Amun-Re,8435,90
Not Support Solo,Bluffing,Bluffing,2,Poker,,6.69174,1,46905,Poker,8879,60
Not Support Solo,Economic,Economic,2,Glen More,,7.33712,1,61157,Glen More,8506,70
Not Support Solo,Bluffing,Bluffing,2,Mascarade,,6.65192,1,46905,Mascarade,8852,30
Not Support Solo,Fighting,Fighting,2,Hero Realms,,7.68437,1,59211,Hero Realms,10986,30
Solo Support,Economic,Economic,1,Charterstone,,7.65893,1,61557,Charterstone,10717,75
Not Support Solo,Deduction,Deduction,2,Codenames: Duet,,7.71535,1,62563,Codenames: Duet,11899,30
Not Support Solo,Economic,Economic,2,Imperial,,7.61704,1,61157,Imperial,8147,180
Solo Support,Economic,Economic,1,Glass Road,,7.45911,1,61557,Glass Road,8681,80
Solo Support,Fighting,Fighting,1,Dungeons & Dragons: Castle Ravenloft Board Game,,6.97768,1,37075,Dungeons & Dragons: Castle Ravenloft Board Game,8239,60
Not Support Solo,Fighting,Fighting,2,Arcadia Quest,,7.81647,1,59211,Arcadia Quest,8790,60
Not Support Solo,Party Game,Party Game,4,Cranium,,5.68705,1,47812,Cranium,8318,60
Not Support Solo,Economic,Economic,2,Jambo,,7.02922,1,61157,Jambo,7877,45
Not Support Solo,Fighting,Fighting,3,Pirate's Cove,,6.58053,1,59211,Pirate's Cove,7861,90
Not Support Solo,Economic,Economic,2,Vikings,,7.26584,1,61157,Vikings,7827,60
Not Support Solo,Economic,Economic,2,Cuba,,7.15796,1,61157,Cuba,7769,120
Not Support Solo,Economic,Economic,3,Pit,,6.39326,1,61157,Pit,8042,90
Not Support Solo,Fighting,Fighting,2,Runebound (Second Edition),,6.88913,1,59211,Runebound (Second Edition),7648,240
Not Support Solo,Economic,Economic,2,Yspahan,,7.10018,1,61157,Yspahan,7632,60
Not Support Solo,Fighting,Fighting,2,Heroscape Master Set: Rise of the Valkyrie,,7.42948,1,59211,Heroscape Master Set: Rise of the Valkyrie,7681,90
Not Support Solo,Bluffing,Bluffing,2,Condottiere,,6.78654,1,46905,Condottiere,8308,45
Solo Support,Economic,Economic,1,Age of Steam,,7.69597,1,61557,Age of Steam,8430,120
Not Support Solo,Bluffing,Bluffing,4,Shadow Hunters,,6.8327,1,46905,Shadow Hunters,7837,45
Not Support Solo,Party Game,Party Game,2,Once Upon a Time: The Storytelling Card Game,,6.44138,1,47812,Once Upon a Time: The Storytelling Card Game,7878,30
Not Support Solo,Deduction,Deduction,3,Mystery of the Abbey,,6.54882,1,62563,Mystery of the Abbey,7560,90
Not Support Solo,Fighting,Fighting,2,Runewars,,7.66713,1,59211,Runewars,7614,240
Not Support Solo,Economic,Economic,2,Navegador,,7.56269,1,61157,Navegador,7812,90
Not Support Solo,Party Game,Party Game,2,Scattergories,,6.15963,1,47812,Scattergories,8092,30
Not Support Solo,Bluffing,Bluffing,2,Arboretum,,7.41813,1,46905,Arboretum,11523,30
Not Support Solo,Economic,Economic,2,Monopoly Deal Card Game,,6.26259,1,61157,Monopoly Deal Card Game,8169,15
Solo Support,Economic,Economic,1,Anachrony,,8.13322,1,61557,Anachrony,10136,120
Not Support Solo,Economic,Economic,3,Chinatown,,7.2674,1,61157,Chinatown,8000,60
Not Support Solo,Party Game,Party Game,2,Trivial Pursuit: Genus Edition,,5.20655,1,47812,Trivial Pursuit: Genus Edition,7272,90
Not Support Solo,Fighting,Fighting,2,Mage Wars Arena,,7.68354,1,59211,Mage Wars Arena,7226,90
Solo Support,Fighting,Fighting,1,Dungeon Roll,,6.14269,1,37075,Dungeon Roll,7273,15
Not Support Solo,Economic,Economic,2,Chicago Express,,7.2293,1,61157,Chicago Express,7243,60
Solo Support,Economic,Economic,1,La Granja,,7.71128,1,61557,La Granja,8110,120
Solo Support,Economic,Economic,1,The Gallerist,,8.01737,1,61557,The Gallerist,8927,150
Not Support Solo,Economic,Economic,2,Civilization,,7.51239,1,61157,Civilization,7007,360
Not Support Solo,Fighting,Fighting,2,StarCraft: The Board Game,,7.337,1,59211,StarCraft: The Board Game,6937,240
Not Support Solo,Bluffing,Bluffing,3,Taj Mahal,,7.3042,1,46905,Taj Mahal,6958,100
Not Support Solo,Party Game,Party Game,2,Deep Sea Adventure,,7.08438,1,47812,Deep Sea Adventure,9578,30
Not Support Solo,Bluffing,Bluffing,2,Mr. Jack Pocket,,6.94803,1,46905,Mr. Jack Pocket,7242,15
Not Support Solo,Economic,Economic,3,Twilight Imperium (Fourth Edition),,8.72044,1,61157,Twilight Imperium (Fourth Edition),11474,480
Not Support Solo,Economic,Economic,2,Oh My Goods!,,7.01281,1,61157,Oh My Goods!,8518,30
Not Support Solo,Economic,Economic,2,Archipelago,,7.37949,1,61157,Archipelago,7113,240
Not Support Solo,Fighting,Fighting,2,Space Hulk (third edition),,7.53902,1,59211,Space Hulk (third edition),6613,60
Not Support Solo,Economic,Economic,2,Cacao,,7.12189,1,61157,Cacao,7585,45
Not Support Solo,Economic,Economic,2,Carson City,,7.27078,1,61157,Carson City,6632,90
Not Support Solo,Economic,Economic,2,Airlines Europe,,7.3284,1,61157,Airlines Europe,6681,75
Not Support Solo,Fighting,Fighting,2,Claustrophobia,,7.54728,1,59211,Claustrophobia,6538,45
Not Support Solo,Economic,Economic,2,Finca,,7.06826,1,61157,Finca,6650,45
Not Support Solo,Economic,Economic,2,Rococo,,7.57887,1,61157,Rococo,7181,120
Not Support Solo,Bluffing,Bluffing,2,Lord of the Rings: The Confrontation,,7.20778,1,46905,Lord of the Rings: The Confrontation,6433,30
Not Support Solo,Fighting,Fighting,2,Flick 'em Up!,,7.02921,1,59211,Flick 'em Up!,7258,45
Not Support Solo,Fighting,Fighting,3,Spartacus: A Game of Blood & Treachery,,7.46593,1,59211,Spartacus: A Game of Blood & Treachery,6879,180
Not Support Solo,Party Game,Party Game,2,The Red Dragon Inn,,6.57217,1,47812,The Red Dragon Inn,6834,45
Not Support Solo,Bluffing,Bluffing,2,Tiny Epic Kingdoms,,6.63359,1,46905,Tiny Epic Kingdoms,6765,45
Not Support Solo,Party Game,Party Game,3,Pictionary,,5.81643,1,47812,Pictionary,6615,90
Not Support Solo,Bluffing,Bluffing,2,Cockroach Poker,,6.62477,1,46905,Cockroach Poker,7845,20
Not Support Solo,Bluffing,Bluffing,2,Forbidden Stars,,7.98764,1,46905,Forbidden Stars,7110,180
Solo Support,Economic,Economic,1,Dinosaur Island,,7.88547,1,61557,Dinosaur Island,9998,120
Not Support Solo,Economic,Economic,2,Yokohama,,7.91106,1,61157,Yokohama,7951,90
Solo Support,Economic,Economic,1,Wingspan,,8.09865,1,61557,Wingspan,32761,70
Solo Support,Deduction,Deduction,1,Exit: The Game â€“ The Abandoned Cabin,,7.6676,1,16023,Exit: The Game â€“ The Abandoned Cabin,7851,120
Solo Support,Economic,Economic,1,Fields of Arle,,8.13588,1,61557,Fields of Arle,7415,120
Not Support Solo,Deduction,Deduction,2,Schotten Totten,,7.30702,1,62563,Schotten Totten,6975,20
Not Support Solo,Bluffing,Bluffing,2,Dead of Winter: The Long Night,,7.76104,1,46905,Dead of Winter: The Long Night,7271,120
Not Support Solo,Fighting,Fighting,2,Raptor,,7.40593,1,59211,Raptor,7236,25
Not Support Solo,Bluffing,Bluffing,2,Not Alone,,7.07762,1,46905,Not Alone,7249,45
Not Support Solo,Fighting,Fighting,2,KeyForge: Call of the Archons,,7.65602,1,59211,KeyForge: Call of the Archons,8526,45
Not Support Solo,Fighting,Fighting,3,Xia: Legends of a Drift System,,7.84598,1,59211,Xia: Legends of a Drift System,6853,180
Not Support Solo,Economic,Economic,2,Brass: Birmingham,,8.60949,1,61157,Brass: Birmingham,14551,120
Not Support Solo,Economic,Economic,2,Rajas of the Ganges,,7.69465,1,61157,Rajas of the Ganges,7731,75
Not Support Solo,Deduction,Deduction,3,Decrypto,,7.80797,1,62563,Decrypto,9659,45
Solo Support,Economic,Economic,1,Agricola (Revised Edition),,8.12485,1,61557,Agricola (Revised Edition),7982,120
Solo Support,Deduction,Deduction,1,Chronicles of Crime,,8.03759,1,16023,Chronicles of Crime,11684,90
Not Support Solo,Party Game,Party Game,3,Just One,,7.57741,1,47812,Just One,8979,20
Solo Support,Fighting,Fighting,1,The Lord of the Rings: Journeys in Middle-earth,,8.401,1,37075,The Lord of the Rings: Journeys in Middle-earth,6688,120
